time,T1,T2,T3
0,29.76,28.95,29.63
20,31.46,28.44,24.46
40,32.59,28.12,23.73
60,33.32,27.88,22.98
80,33.63,27.71,22.41
100,33.78,27.54,22.05
120,33.8,27.32,21.71
140,33.78,27.2,21.44
160,33.68,26.98,21.12
180,33.59,26.83,20.95
200,33.44,26.68,20.76
220,33.32,26.56,20.59
240,33.17,26.39,20.46
260,33.05,26.29,20.29
280,32.9,26.17,20.17
300,32.73,26.05,20
320,32.63,25.9,19.88
340,32.46,25.76,19.73
360,32.34,25.63,19.66
380,32.27,25.54,19.54
400,32.12,25.41,19.46
420,32.05,25.34,19.39
440,31.93,25.24,19.27
460,31.8,25.12,19.2
480,31.71,25.05,19.12
500,31.59,24.98,19.02
520,31.46,24.85,18.98
540,31.44,24.8,18.85
560,31.32,24.71,18.78
580,31.27,24.63,18.73
600,31.2,24.56,18.63
620,31.12,24.51,18.59
640,31.05,24.46,18.54
660,31,24.41,18.51
680,30.95,24.34,18.46
700,30.83,24.29,18.39
720,30.78,24.22,18.32
740,30.73,24.17,18.29
760,30.68,24.12,18.22
780,30.61,24.1,18.17
800,30.56,24.02,18.15
820,30.49,23.98,18.1
840,30.49,23.93,18.05
860,30.46,23.9,18.02
880,30.44,23.88,17.98
900,30.39,23.8,17.9
920,30.29,23.76,17.9
940,30.27,23.76,17.88
960,30.24,23.73,17.83
980,30.2,23.66,17.8
1000,30.17,23.66,17.76
1020,30.2,23.63,17.73
1040,30.12,23.61,17.73
1060,30.12,23.59,17.68
1080,30.02,23.51,17.68
1100,30.02,23.51,17.63
1120,30,23.46,17.61
1140,29.93,23.44,17.59
1160,29.9,23.41,17.56
1180,29.9,23.41,17.56
1200,29.9,23.41,17.54
